Name,Status,Price,Stars,Ratings,URL,UPC
Xbox One X Cyberpunk 2077 Limited Edition 1TB Console “CONSOLE ONLY “,Novo em folha,"R$ 1 984,43",0,0,https://www.ebay.com/itm/Xbox-One-X-Cyberpunk-2077-Limited-Edition-1TB-Console-CONSOLE-ONLY/153968777008?hash=item23d9411730:g:hIMAAOSw6Ode4vUB,889842564075
Microsoft Xbox One X Limited Edition Cyberpunk 2077 Console BRAND NEW SEALED,Novo em folha,"R$ 1 868,19",Tem,0,https://www.ebay.com/itm/Microsoft-Xbox-One-X-Limited-Edition-Cyberpunk-2077-Console-BRAND-NEW-SEALED/264761923847?hash=item3da50a5907:g:LNEAAOSwpZhe49ia,
Xbox One X LE Bundle - Cyberpunk 2077 Brand New in Box Free Shipping,Novo em folha,"R$ 2 608,09",0,0,https://www.ebay.com/itm/Xbox-One-X-LE-Bundle-Cyberpunk-2077-Brand-New-in-Box-Free-Shipping/203019026658?_trkparms=ispr%3D1&hash=item2f44e080e2:g:cgcAAOSwAtZe4tg3&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKCsFG3Zkm%2FydhIZrjCFJJ0khj5%2Fo95jUuJ7Ls2qIMPJ2YtawjUa%2BFkMQCHjLA5BL2V6%2BGTc3uDMuBjt6qHJPYlWFGhapMmQDx6vWeFR71phcI6StJqFzUlVHFtgkTnlrIIBdZg1y8ObWFLYAIWgMrGblKJykZc2j%2BrZ1SgxjRIB0Ev1F9AsiGlstJTykzirvpn5MZQSkTU%2FRg%2Fahyo9D9hqNnhGiRiCCQdqIUufaXWABusfZJDdHzq2eVVv4y%2B5PYmLHlhPnyg%2F7klh7TedKCViYdsOJ%2FX8YMZ0V4o3HgJzkFBXe%2B7FpG82O6XNBrebBNUjhZtjbo5wyQym2kEOc9ANp79Cdvb1ls%2BgsUDbwn6sP%2F5I9Wb4awfLBs6WNyJPTZeG1cbg7Y%2BxxXxksPysslTR3xlw1BkzgMKVDHO53rSPtx2TZLUoGqySPnYoV5jMruePYOCLFzcb2s93LXq6VvtzMWHzfRwSZyetvfZ71rmc7sx3LtJmaoJTLnT%2FrOzeyZ%2FjLT5ttVlMD0jf8iAP6dTy9my%2B%2FgctcdiLa0AxAPCLiSQoYb7mtYYGELJFgLBqMwDhjOpKfcF1nchWtUTXlj6472A0KIY%2Bt7qRGjJN2LBbdUs6lQnt3udpCKxSBlzar81S0IYlneTluX%2Bhyhj1blAEHfrkkn6zbBCLbVnsTiJ%2BpOueFaTUJoJlbHbIPWD6NvsZcdzYnqRyyFBg56oiy9zvC9n2tdVbrNnLg5AjfU1YigarpzFHucaAnGULXfru9E&checksum=203019026658e5b8f05b79d243839ebcb8a97115dd19,
Xbox One X,Seminovo,"R$ 2 928,84",0,0,https://www.ebay.com/itm/Xbox-One-X/402283911413?_trkparms=ispr%3D1&hash=item5da9fd58f5:g:sWcAAOSwfvle16Sx&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKLefOeKDNbhl56Ddqr5qda4nQenMY5f%2Bx4IfDc6LPjLKrlkfYUWXbK4B8f87zMa%2BR4gpb52dPe8LtnNoSJ0pQ7j95x1zALlOuvp1F0gQClQVZtzjhAKCkMNHVZXs3Ci7qdt3bWNGiOE4pj54DtTM5eMfqDQswkKf4p7qE0V997DFH5V%2BAus5vyT8BIlJIUfNddoynkTQc4qO6OAdTuIcb5bz3Meei2V1QDFSogg3pjjupW9pMBqz9kFgNgF0B2KhqPDs7yZGp9ktnS%2B6nSaGcKkTwqIJtfBn0U98B387JCzLI7TLJ35BAjFtaLmo42%2BfM9hyQwXO3BFaNx89l9nLEACzHMK9DBewJBmYRfm3Z0cz3R2RFNTEq%2BKRIV%2BU2cwY3adABHPzZAPVzsoj8ZfBkt6oVFR7KXU7cqocW1qQDLvMVQeb20ezD5jQR7BnShiQG73CrjKsvU56k1w1kZvhjXlaminA%2BHmUUEWXWzvZRlawq41t2GZhAR%2BhYxu1IfSz83hZme0pq2IfmZgPVtNRv%2F9fyHdH8nQfapHB6htXAavt3xRw171d3SAR8dDRugopuuzDXrp4AfygwhMAlgZWdB0PJoohldpBYyjJcrKvXhcZLI9QoxgM77gLRgYeQoEF4Jot5pNG5FcA5S03EvI%2FOn8yY09YuwjtKZyPkO3D7Eqn6uEazoDZDvOyRLfWnTX56yONYpTykClb3ffZgAr5ycGK5ycKpSkYwCjLn8yLwZHWQN%2FTxAZDoXN7BL7rPR8ga&checksum=402283911413e5b8f05b79d243839ebcb8a97115dd19,Does Not Apply
Microsoft Xbox One X 1TB Console-Gold Rush Special Edition Battlefield V Bundle,Novo em folha,"R$ 3 286,21",0,0,https://www.ebay.com/itm/Microsoft-Xbox-One-X-1TB-Console-Gold-Rush-Special-Edition-Battlefield-V-Bundle/153281440065?_trkparms=ispr%3D1&hash=item23b0492941:g:0PYAAOSwIbtb~tN-&enc=AQAEAAACcIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKDfYOPGy6TP3UksDR9kNPnyg6jUaqdmZUvFBcz3wsij1ooG2E%2Bbbq0yuO5Q8q8NSboqCDLi9oVXY%2B2H0BF6mjo%2F3JUoQcWDBuVqVvaWRbyyrKs7MpcKK4IbNewkGh1ijeX5V4tkdK%2FW4xtMYC3gZK45kAfY8nD39AgwHUpkPwWrtCNJ34jvm8%2BAFfsFrxw6DMoWpUi%2BALxxLo67aQtAW2ai0xwzt2QOGXt4ykwa3O5jyALeF0hyCsK70gIlYlWUvt5JmeZ82vBwpqzp4BjuoDZEn0%2BKd%2BJ0b10VlBPABUBZXgkz3mS7Y87hqPwP3aB2ZAqgzVoDbtUS5kNjrRkyoie7yT767pGvc%2B5tdVNR2%2BvZ137%2BFDvnQvaboVl%2BXOh3FdcR%2BlEOP3BAFTX4mAKvXqSAWuiLXFKZH9ulwmK1MEvTJAUNPigatt8qRoRb80poe3mlJ%2FWWbwDfhnZ5z1WnVmJiwEU8yvglaj48GznYLUFB%2FaKpmH5Lc7iacfqfTxI1%2F62djvy6CFD67XgvF9M1faolI1QAw0fJ8t6b9xjZOw3sW6CusoxQ95Kv8qTXCwdgPXE7KeLlrBJ%2FcRY0YFhhJ4Bj%2BuUurAxufhecjkVR70NRWHQjWV4oWdJqBQnnXxyXTjFNbA8sET%2FMo7u5Lk2xf63daXfqXrWn4cEpJid2bvYia5aDLYd1uTGZAoQLxlzjlBsDrDZqaMXmwV6IxFot%2F8xMiOGlj5C8q0mWB5WXyu%2Bo5063GTnOv9T1Ldb2tJSFJ8uotm7XC%2Bs0ZBdMrKp1Rdtg%3D%3D&checksum=153281440065e5b8f05b79d243839ebcb8a97115dd19,
Name,Status,Price,Stars,Ratings,URL,UPC
Xbox One X Cyberpunk 2077 Limited Edition 1TB Console “CONSOLE ONLY “,Novo em folha,"R$ 1 984,43",0,0,https://www.ebay.com/itm/Xbox-One-X-Cyberpunk-2077-Limited-Edition-1TB-Console-CONSOLE-ONLY/153968777008?hash=item23d9411730:g:hIMAAOSw6Ode4vUB,889842564075
CONSOLE MICROSOFT XBOX ONE X 1TB 4K HDR ITALIA + Star Wars Jedi Fallen Order,Novo em folha,"R$ 1 734,93",CON,0,https://www.ebay.com/itm/CONSOLE-MICROSOFT-XBOX-ONE-X-1TB-4K-HDR-ITALIA-Star-Wars-Jedi-Fallen-Order/124221783985?epid=26035278789&hash=item1cec31ffb1:g:UWMAAOSw5eRenYzM,889842485325
Microsoft Xbox One X Limited Edition Cyberpunk 2077 Console BRAND NEW SEALED,Novo em folha,"R$ 1 868,19",Tem,0,https://www.ebay.com/itm/Microsoft-Xbox-One-X-Limited-Edition-Cyberpunk-2077-Console-BRAND-NEW-SEALED/264761923847?hash=item3da50a5907:g:LNEAAOSwpZhe49ia,
Xbox One X,Seminovo,"R$ 2 928,84",0,0,https://www.ebay.com/itm/Xbox-One-X/402283911413?_trkparms=ispr%3D1&hash=item5da9fd58f5:g:sWcAAOSwfvle16Sx&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKLefOeKDNbhl56Ddqr5qda4nQenMY5f%2Bx4IfDc6LPjLKrlkfYUWXbK4B8f87zMa%2BR4gpb52dPe8LtnNoSJ0pQ7j95x1zALlOuvp1F0gQClQVZtzjhAKCkMNHVZXs3Ci7qdt3bWNGiOE4pj54DtTM5eMfqDQswkKf4p7qE0V997DFH5V%2BAus5vyT8BIlJIUfNddoynkTQc4qO6OAdTuIcb5bz3Meei2V1QDFSogg3pjjupW9pMBqz9kFgNgF0B2KhqPDs7yZGp9ktnS%2B6nSaGcKkTwqIJtfBn0U98B387JCzIsXJlMGY51gBYj5WMLsFlg5floMBz4eOHsjgc%2F4tKFG7sARhe0mGg2Gb7TEWK2akF3hPq%2FKzTyuodgofJMMpOJu7qqojWO3smzbjLppbNIudiNx3GsnEhha4jCKmg9yUp5fQru8DvT6KkG6FgFDAYtG6jNRZKGmDGtUEy411wM%2BQZxLXo1bb%2FymIA3ST4Z05yIFe5Q1pkJQIh1rtTD2%2Bb0PNAsZ3qd%2B%2Fcf76Bc2iFhS8kWDOu%2Bs6KEtuV0SR%2B3jJymCT2FQZky6NkXFni0umDemxQoWboIRtMOrK6nI7eJr1N5uMmevNyeb1NmAG%2FKKRtsFrZUxHFSB2NlIrA5m3aC41T%2B0P%2Br%2BSz%2BKZksO8i99mnxdtaDWlosFHfSx05tdgxOt38J75voEKw2pB%2F%2FzSRxH0Lxkee32otqD7TecJoGTlRMCd9XhHJeAkxkHtj9lyChp3sceFFCCloVQOjeni4H&checksum=402283911413d9e8e535f86b411488a143df68d26b78,Does Not Apply
